,Date,AdjClose,Open,High,Low,Close,Volume,avg7,avg10,avg50,avg100,avg200,avg253,SPD_OPEN/CLOSE,SPD_HIGH/LOW,Adj_Close_Returns,Close_Returns,Log_Returns,pos_string,count_pos_string,macd,signal,hist,MACD_1DAY_strategy,MACD_9DAY_strategy,MACD_CONVERGENCE_strategy,RSI,RSI_strategy,OBV,OBV_EMA,OBV_strategy,TSF,TSF_strategy,WILLR,WILLR_strategy,STOCH_K,STOCH_D,STOCH_K_strategy,STOCH_D_strategy,EMA,TEMA,upperband,middleband,lowerband,MOM,stok,stod,CCI,direction
35,2000-02-22 00:00:00,4382.120117,4432.830078,4443.939941,4291.009766,4382.120117,1772290000,4429.314314,4428.157031,0.0,0.0,0.0,0.0,-50.709961,152.930175,-0.671393047,-0.671393043,-0.00673657,0,0,117.136692,111.8153929,5.321299081,0,0,0,55.36607678,0,15535580000.0,6897148732.0,1,4527.162796,0,-41.56143081,0,75.96073049,84.60540367,0,-1,4415.387894,86022384394.0,4635.384727,4256.418132,3877.451536,4381.120117,-2.335912533,24.01492905,50.47713163,-1
36,2000-02-23 00:00:00,4550.330078,4406.879883,4567.970215,4401.379883,4550.330078,1892800000,4451.440011,4440.440039,0.0,0.0,0.0,0.0,143.450195,166.590332,3.838552035,3.838552037,0.037667123,1,1,122.8729092,114.0268961,8.846013051,0,0,0,61.68580652,0,17428380000.0,7208070353.0,1,4528.203238,0,-4.942458684,-1,74.54284828,78.8491526,0,0,4482.858986,90027370224.0,4669.586324,4278.049084,3886.511844,4549.330078,59.53655137,21.8972188,96.29770851,1
37,2000-02-24 00:00:00,4617.649902,4583.890137,4620.029785,4495.200195,4617.649902,1944050000,4479.882882,4465.881006,0.0,0.0,0.0,0.0,33.759765,124.82959,1.47944925,1.479449245,0.014686122,1,2,131.3370778,117.4889325,13.84814533,0,0,0,63.88946034,0,19372430000.0,7558602976.0,1,4556.864837,0,-0.731843978,-1,84.25475551,78.25277809,-1,0,4550.254444,94150077976.0,4713.12959,4299.489072,3885.848553,4616.649902,66.74365162,41.31476349,108.6866123,1
38,2000-02-25 00:00:00,4590.5,4618.830078,4662.930176,4576.189941,4590.5,1825500000,4504.130022,4476.368018,0.0,0.0,0.0,0.0,-28.330078,86.740235,-0.587959307,-0.587959299,-0.005896946,0,0,134.3060259,120.8523512,13.45367475,0,0,0,62.33239276,0,17546930000.0,7839727883.0,1,4570.192978,0,-21.24237626,0,91.02777369,83.27512583,-1,-1,4570.377222,95404978353.0,4742.288498,4324.279076,3906.269654,4589.5,40.21157477,55.49725925,108.9678205,-1
39,2000-02-28 00:00:00,4577.850098,4575.069824,4626.720215,4466.419922,4577.850098,1798070000,4525.587193,4494.608008,0.0,0.0,0.0,0.0,2.780274,160.300293,-0.275566983,-0.275566975,-0.002759474,0,0,134.0924628,123.5003735,10.59208935,0,0,0,61.57935464,0,15748860000.0,8057292121.0,1,4582.137615,0,-36.28919039,0,80.57886312,85.28713078,-1,-1,4574.11366,95639211372.0,4760.898619,4349.911935,3938.925251,4576.850098,35.57733072,47.51085237,96.10011667,-1
40,2000-02-29 00:00:00,4696.689941,4646.640137,4698.459961,4637.169922,4696.689941,2088840000,4546.697196,4522.422021,0.0,0.0,0.0,0.0,50.049804,61.290039,2.595974993,2.595974976,0.025628516,1,1,141.8771236,127.1757235,14.7014001,0,0,0,65.76388927,0,17837700000.0,8320402740.0,1,4638.184179,0,-0.674293333,-1,80.59804667,84.06822783,-1,-1,4635.401801,99536199097.0,4769.340604,4388.465262,4007.589921,4695.689941,65.91317027,47.23402525,140.782652,1
41,2000-03-01 00:00:00,4784.080078,4732.819824,4796.899902,4732.819824,4784.080078,2232340000,4599.888602,4558.753027,0.0,0.0,0.0,0.0,51.260254,64.080078,1.860675025,1.860675031,0.018435762,1,2,153.3306764,132.4067141,20.92396235,0,0,0,68.48234024,0,20070040000.0,8629707163.0,1,4699.026539,0,-3.551788689,-1,86.4949092,82.557273,-1,-1,4709.740939,104403000000.0,4789.436043,4428.64288,4067.849718,4783.080078,54.74769629,52.07939909,175.1774906,1
42,2000-03-02 00:00:00,4754.509766,4816.810059,4829.009766,4705.450195,4754.509766,2137080000,4653.087123,4591.439014,0.0,0.0,0.0,0.0,-62.300293,123.559571,-0.618098193,-0.618098182,-0.006200163,0,0,158.1980143,137.5649741,20.63304013,0,0,0,66.55656258,0,17932960000.0,8869492227.0,1,4759.065457,0,-18.95434091,-1,92.27319235,86.45538274,-1,-1,4732.125353,105899000000.0,4806.912283,4462.09668,4117.281076,4753.509766,32.83180768,51.16422475,161.7288577,-1
43,2000-03-03 00:00:00,4914.790039,4846.009766,4914.790039,4813.819824,4914.790039,2136530000,4705.152832,4628.026025,0.0,0.0,0.0,0.0,68.780273,100.970215,3.371120922,3.371120912,0.033155442,1,1,172.99452,144.6508833,28.34363666,0,0,0,71.27218469,-1,20069490000.0,9152282795.0,1,4840.178797,0,0.0,-1,92.4979568,90.42201945,-1,-1,4823.457696,112152000000.0,4852.599351,4502.136207,4151.673063,4913.790039,69.33038565,52.30329654,189.7295637,1
44,2000-03-06 00:00:00,4904.850098,4935.649902,4980.149902,4887.879883,4904.850098,2015580000,4746.181431,4677.337012,0.0,0.0,0.0,0.0,-30.799804,92.270019,-0.202245494,-0.202245486,-0.002024503,0,0,181.8228465,152.0852759,29.73757059,0,0,0,70.60726998,-1,18053910000.0,9372575212.0,1,4905.39253,0,-13.95656108,-1,89.02969933,91.2669495,-1,-1,4864.153897,115015000000.0,4900.145545,4535.177641,4170.209738,4903.850098,43.63225131,48.59814821,177.6315807,-1
